Application_ID,Application_Date,Sanction_Date,Disbursal_Date,Borrower_Name,Age,Gender,Marital_Status,Dependents,PAN,Aadhaar,Mobile,Email,Property_City,Property_State,Property_Pincode,Employment_Type,Employer_Name,Years_With_Employer,Monthly_Income_Stated,Annual_Income_Stated,Actual_Bank_Credit_Monthly,ITR_Income_Last_FY,ITR_Income_Prev_FY,Form16_Available,Loan_Purpose,Property_Type,Market_Value_INR,Loan_Amount_INR,LTV_Ratio,Down_Payment_INR,Down_Payment_Source,Tenure_Years,Interest_Rate_pct,EMI_INR,FOIR,Existing_Monthly_EMI,Co_Applicant,Co_Applicant_Name,Co_Applicant_Annual_Income,CIBIL_Score,Num_Credit_Enquiries_Last_30D,Prev_Loan_Bank,Prev_Default_History,Valuation_Agency,Legal_Opinion,CERSAI_Checked,RERA_Registered,Title_Chain_Clear,EC_Years_Verified,Disbursement_Mode,Broker_Involved,Broker_DSA_Name,First_EMI_Status,DPD_Bucket_Current,Loan_Status,NPA_Date,Fraud_Type,Fraud_Label_01,Anomaly_Notes,Email_Name_Mismatch,Signature_Mismatch,ID_Docs_Altered,Salary_Round_Figure_Flag,PF_Deduction_Missing,Salary_Credited_From_Personal_Acct,ITR_Filed_Just_Before_Application,Month_End_Fund_Parking,Valuation_Inflation_Flag,OC_CC_Available,Disbursement_To_NonSeller_Flag,Legal_Opinion_TAT_Hours,Bank_Statement_Tampered,PDF_Metadata_Anomaly,Borrower_Unreachable,AML_Flag,Loan_Foreclosed_Within_6M,PEP_Involved,Overseas_Wire_Transfer_Detected
HL200404190,18-02-2004,04-03-2004,10-03-2004,Sanjay Tripathi,48.0,Female,Married,2.0,,2881 6315 1696,+91 8536553142,,Vadodara,Gujarat,343854.0,Self-Employed Professional,Self,9.0,0,0.0,,4993018.0,4053995.0,,Purchase,Row House,19992627,15794175,0.79,4198452,Unknown,21,11.81,169835,0.4,435,No,,0.0,733.0,1,Yes Bank,,Third Party Valuer,Minor Observations,Yes,Yes,Yes,11.0,NEFT to Builder,No,,Bounced,0,Active,,CLEAN,0,,0,No,No,Yes,No,No,No,No,No,Yes,No,84,No,No,No,No,No,No,No
HL202206505,28-07-2022,12-08-2022,19-08-2022,Poonam Saxena,34.0,Male,Single,3.0,VMYIF5182X,9462 2926 6043,+91 8293584647,psaxena98@yahoo.com,Bangalore,Karnataka,499876.0,Salaried,M/s Radha Enterprises,15.0,373507,,,4471458.0,3806633.0,Yes,Construction,Villa,10782907,7548034,0.7,3234873,Own Savings,6,12.07,147840,0.4,2367,Yes,Rajesh Sinha,514248.0,750.0,4,ICICI Bank,2+ DPD,Empanelled Valuer B,Adverse,Post-Sanction Only,Not Applicable,Yes,29.0,NEFT to Builder,Yes,DSA/Goel Associates,Paid,1-30,Closed,,INCOME_FRAUD,1,Inflated CTC; employer phone resolves to mobile; ITR XML hash mismatch suspected,0,No,No,No,No,No,No,Yes,No,Yes,No,85,No,No,No,No,No,No,No
HL200807738,10-01-2008,18-01-2008,30-01-2008,Jyoti Reddy,56.0,Other,Married,1.0,SCWYZ5032Y,7096 3513 7215,+91 7310451710,jyoti.reddy@rediffmail.com,Mumbai,Maharashtra,521360.0,Salaried,BPCL,4.0,41257,495084.0,42788.0,453052.0,,No,Purchase,Row House,4791544,3401996,0.71,1389548,Family Gift,15,10.58,37774,0.93,3674,Yes,Kavita Chopra,969264.0,712.0,0,Union Bank,,Empanelled Valuer A,Clear,Yes,Not Applicable,Yes,17.0,NEFT to Seller,Yes,DSA/Chauhan Associates,Paid,0,NPA,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,109,No,No,No,No,No,No,No
HL201805855,24-03-2018,09-04-2018,18-04-2018,Pankaj Joshi,51.0,Female,Married,4.0,GUUAS6801N,2663 3992 2219,+91 8876456882,pjoshi@outlook.com,Surat,Gujarat,374247.0,Salaried,Tata Motors,10.0,285064,,286387.0,3470738.0,3283753.0,Yes,Extension,Independent House,3047800,2346806,0.77,700994,Own Savings,26,9.79,20794,0.07,6330,Yes,Geeta Iyer,825108.0,682.0,0,Yes Bank,,Empanelled Valuer B,Clear,Yes,Not Applicable,Yes,18.0,Cheque,Yes,DSA/Srivastava Associates,Paid,0,Restructured,,CLEAN,0,,0,Yes,No,No,No,No,No,No,No,Yes,No,119,No,No,No,No,No,No,No
HL201602308,08-09-2016,28-09-2016,14-10-2016,Savita Das,24.0,,Married,1.0,OXNAE3754F,6214 8543 3828,+91 7991740063,savita_das@hotmail.com,Kanpur,Uttar Pradesh,711050.0,Self-Employed Professional,Self,10.0,195092,2341104.0,170107.0,2337895.0,1918953.0,,Repair/Renovation,Villa,12362513,8530133,0.69,3832380,Third Party,6,9.76,156997,0.8,9670,No,,,729.0,0,HDFC Bank,,Empanelled Valuer B,Clear,Yes,Yes,Yes,14.0,Cheque,Yes,DSA/Shah Associates,Paid,90+,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,Yes,Yes,No,90,Yes,No,No,No,No,No,No
HL200804312,14-08-2008,21-08-2008,29-08-2008,Kiran Tripathi,,Female,Single,3.0,ERTGH6410D,9432 3439 6561,+91 7671545855,,Bhopal,Madhya Pradesh,136049.0,Self-Employed Professional,Self,9.0,318981,3827772.0,295289.0,3506680.0,3182615.0,,Purchase,Independent House,17857720,13571867,0.76,4285853,Sale of Asset,30,11.41,133469,0.42,30352,Yes,Seema Shah,321732.0,737.0,1,Union Bank,,Third Party Valuer,Clear,Yes,Yes,Yes,21.0,Cash,No,,Paid,90+,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,25,No,No,No,No,No,No,No
HL202002105,23-06-2020,05-07-2020,25-07-2020,Ashok Ghosh,39.0,Male,Widowed,4.0,YXPVN3977L,3108 2604 1485,+91 8134867343,ashok.ghosh@hotmail.com,Visakhapatnam,Andhra Pradesh,550385.0,Self-Employed Professional,Self,5.0,59837,718044.0,61727.0,650434.0,660335.0,,Construction,Independent House,23669842,17042286,0.72,6627556,Own Savings,30,9.25,140202,3.03,41365,No,,0.0,719.0,8,,2+ DPD,Third Party Valuer,Minor Observations,Post-Sanction Only,Yes,Yes,26.0,NEFT to Seller,Yes,DSA/Malhotra Associates,Paid,0,Active,,LOAN_STACKING,1,8 bureau enquiries in 30 days; high existing obligations,0,No,No,No,No,No,No,No,No,No,No,59,No,No,No,No,No,No,No
HL201003726,01-04-2010,29-04-2010,10-05-2010,Anita Khanna,32.0,Male,Married,4.0,OHWDA3174M,8665 3179 3544,+91 8509830835,anita.khanna@rediffmail.com,Ahmedabad,Gujarat,602458.0,Self-Employed Professional,Self,19.0,231820,2781840.0,200983.0,2593929.0,2487947.0,,Repair/Renovation,Independent House,14811811,10516385,0.71,4295426,Third Party,17,10.62,111557,0.48,20816,No,,0.0,727.0,0,Yes Bank,,Empanelled Valuer B,Conditional Clear,Yes,Yes,Yes,26.0,NEFT to Seller,Yes,DSA/Gupta Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,35,No,No,No,No,No,No,No
HL201300245,01-01-2013,17-01-2013,01-02-2013,Shanti Tiwari,30.0,Female,Married,3.0,FCGFA6007W,4329 3672 5144,+91 9607824780,shanti_tiwari@rediffmail.com,Jaipur,Rajasthan,705961.0,Self-Employed Business,Self,4.0,298312,3579744.0,280205.0,3512624.0,3558949.0,,Purchase,Plot+Construction,13462790,8750813,0.65,4711977,Unknown,29,10.19,78445,0.26,20270,No,,,729.0,1,IndusInd Bank,,Third Party Valuer,Clear,No,Yes,Yes,,Cash,No,,Paid,1-30,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,28,No,No,No,No,No,No,No
HL201307631,21-03-2013,31-03-2013,10-04-2013,Rahul Yadav,53.0,Male,Widowed,2.0,OJUAV5993Y,2645 4297 9707,+91 7875415962,rahul.yadav@rediffmail.com,Mumbai,Maharashtra,354801.0,Government,Hindustan Unilever,14.0,130285,1563420.0,127445.0,1439919.0,1279997.0,Yes,Extension,Independent House,24583579,15241818,0.62,9341761,Own Savings,6,11.71,295686,2.27,17438,Yes,Dinesh Chatterjee,373560.0,737.0,1,BOB,,Empanelled Valuer B,Clear,Yes,Not Applicable,Yes,22.0,Cheque,No,,Bounced,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,75,No,No,No,No,No,No,No
